source_id,period_days,transit_depth_ppm,planet_radius_re,stellar_radius_rs,snr,epoch,label_raw,mission,label_coarse,label_binary
K05966.01,478.79185021,,,,,184.4598838,CANDIDATE,KEPLER,CANDIDATE,0
K05844.01,344.961485,427.9,1.61,0.775,6.2,208.2266,FALSE POSITIVE,KEPLER,FALSE POSITIVE,0
K05845.01,22.2659599,61.3,1.18,1.492,8.3,144.87,CANDIDATE,KEPLER,CANDIDATE,0
K05846.01,199.064336,265.0,6.12,3.436,15.4,180.0893,CANDIDATE,KEPLER,CANDIDATE,0
K05847.01,277.114286,567.1,17.56,7.549,10.4,196.18868,CANDIDATE,KEPLER,CANDIDATE,0
K05848.01,323.159363,368.6,3.41,1.811,7.4,149.1299,CANDIDATE,KEPLER,CANDIDATE,0
K05849.01,21.512259,131.3,1.13,0.997,7.1,139.0225,CANDIDATE,KEPLER,CANDIDATE,0
K05850.01,303.226376,1464.0,3.66,0.955,12.7,344.05409,CANDIDATE,KEPLER,CANDIDATE,0
K05967.01,22.8631517,103.3,4.84,4.874,8.5,143.1523,CANDIDATE,KEPLER,CANDIDATE,0
K05968.01,97.942437,100.2,2.29,2.284,7.8,157.97325,CANDIDATE,KEPLER,CANDIDATE,0
K05969.01,163.820347,1196.0,2.59,0.771,7.0,232.6163,FALSE POSITIVE,KEPLER,FALSE POSITIVE,0
K05970.01,151.577009,467.9,3.67,1.674,9.3,194.7958,FALSE POSITIVE,KEPLER,FALSE POSITIVE,0
K05971.01,493.30572,404.5,1.08,0.548,7.2,361.8842,CANDIDATE,KEPLER,CANDIDATE,0
K05972.01,449.87203,1130.0,2.59,0.786,10.5,298.195,CANDIDATE,KEPLER,CANDIDATE,0
K05973.01,419.93373,285.0,1.82,1.053,12.0,391.9313,CANDIDATE,KEPLER,CANDIDATE,0
K05851.01,322.221973,465.6,2.18,1.006,8.9,217.0496,CANDIDATE,KEPLER,CANDIDATE,0
K05852.01,235.413973,1027.0,3.2,1.001,6.9,307.0728,CANDIDATE,KEPLER,CANDIDATE,0
K05853.01,366.68293,1075.0,3.15,0.869,6.4,257.6476,CANDIDATE,KEPLER,CANDIDATE,0
K05854.01,240.57135,921.5,2.93,0.943,36.9,239.50353,CANDIDATE,KEPLER,CANDIDATE,0
K05855.01,217.792748,1487.0,6.15,1.283,16.6,210.6893,CANDIDATE,KEPLER,CANDIDATE,0
