z_period_days,z_transit_depth_ppm,z_planet_radius_re,z_stellar_radius_rs,z_snr,label_binary,label_coarse,mission
-0.3728729603425411,0.01827345856018881,-0.07666954149956587,-0.40827433971245225,1.8050936545786906,1,CONFIRMED,KEPLER
-0.340368651925053,-0.2624710635499729,-0.4214869847497787,-0.4854401204605968,-0.12349589597931214,1,CONFIRMED,KEPLER
-0.18007370065116027,-0.24053205320816154,-0.38582972641367713,-0.5267148403956509,-0.10726509013142865,1,CONFIRMED,KEPLER
-0.35507784464992376,-0.2499913511573251,-0.4399033709233696,-0.7671849478433571,-0.1214413635935041,1,CONFIRMED,KEPLER
-0.3635716006850554,-0.2558601564402276,0.6662553135031652,-0.36699961977739826,-0.13520673057841792,0,FALSE POSITIVE,KEPLER
-0.19900136408491856,-0.26477337946020496,-0.3971930285207865,-0.2647100964600904,-0.17383193943160902,1,CONFIRMED,KEPLER
-0.3391610831992128,-0.2798334459138426,-0.4528340250452526,0.04843940913412409,-0.16458654369547285,1,CONFIRMED,KEPLER
-0.2897104907726402,-0.2742866848199474,-0.4112991966537497,-0.2647100964600904,-0.20999170942183043,1,CONFIRMED,KEPLER
0.0039641890448149815,-0.26278510664111665,-0.3619276081883783,-0.2647100964600904,-0.18698094670078041,1,CONFIRMED,KEPLER
-0.3531875505551693,0.1641134698677625,-0.06569807739615004,-0.49800199174517845,3.833738932325545,1,CONFIRMED,KEPLER
-0.03389668696546951,-0.19216341634863005,-0.2212577648624392,-0.42801442315965205,-0.11075779518730232,0,CANDIDATE,KEPLER
-0.31013952041510556,-0.23319904701623223,-0.3031519076343648,-0.23599724780961798,-0.03597281634388982,1,CONFIRMED,KEPLER
-0.1447780994464479,-0.258998587077199,-0.4489156450083183,-0.739369375713212,-0.21204624180763845,1,CONFIRMED,KEPLER
-0.3045575176994503,-0.2661595696650623,-0.4481319690009315,-0.739369375713212,-0.23176975271139558,1,CONFIRMED,KEPLER
-0.30640528701978353,-0.2514835559088743,-0.4371605048975156,-0.7456503113555029,-0.1526702558577862,1,CONFIRMED,KEPLER
-0.001346646617798683,1.375019623279721,0.5581080244837804,-0.373280555419689,2.402346219133087,0,FALSE POSITIVE,KEPLER
-0.34181738688494595,-0.2336291060263972,0.659594067440377,-0.46839186657437887,0.34144478292904623,0,CANDIDATE,KEPLER
-0.350922162119337,-0.27032614137749783,0.015412389368388669,-0.46839186657437887,0.015390493301311037,0,FALSE POSITIVE,KEPLER
-0.23876371987729553,-0.2740426513351096,-0.4062053026057351,0.04843940913412409,-0.047889104181576415,1,CONFIRMED,KEPLER
-0.16674810410609373,-0.25913660601534494,-0.38700524042475737,-0.3131630285577625,-0.1908845582338157,1,CONFIRMED,KEPLER
-0.3083933691115825,0.020353744004707762,-0.11428598985413457,-0.5132556925907419,0.5306672156619663,0,FALSE POSITIVE,KEPLER
-0.37864648351894614,-0.12066560584008645,2.331958667203909,-0.32123851724070784,-0.08445978064895947,0,CANDIDATE,KEPLER
-0.23237679785426574,0.02413426274522778,-0.0880328436066752,-0.46211093093208805,0.07250649362677444,1,CONFIRMED,KEPLER
-0.30651480291546307,-0.26488739510476034,-0.4367686668938222,-0.5527358594851415,-0.18780275965510365,1,CONFIRMED,KEPLER
-0.3410608345196758,-0.2742966861922768,-0.4622381371338948,-0.5527358594851415,-0.22478434259964827,1,CONFIRMED,KEPLER
-0.32423161614601237,-0.2670316893321875,-0.4238380127719392,-0.44775450660685184,-0.12308498950215054,1,CONFIRMED,KEPLER
-0.32820789525793354,-0.263397190627677,-0.3681970162474731,-0.314957581598417,-0.16520290341121524,0,FALSE POSITIVE,KEPLER
-0.3641868958031385,-0.25908659915369786,0.5091282740221024,-0.43519263532227015,-0.042136413501313925,0,FALSE POSITIVE,KEPLER
-0.3581352090558557,-0.0654380278370401,-0.16718412035274674,-0.499796544785833,0.8988394191987663,1,CONFIRMED,KEPLER
-0.23278803327384995,-0.22101137469560345,-0.32352748382642277,-0.47646735525732425,-0.09062337780638358,1,CONFIRMED,KEPLER
-0.3079969473442415,-0.28164769485439906,-0.47791165728163165,0.04843940913412409,-0.2383442563459813,1,CONFIRMED,KEPLER
